,team_name,W,L,ppg,ppg_a,ppg_diff,pass_yds,pass_tds,rush_yds,rush_tds,off_tds,pass_ypg,rush_ypg,win_pct,ypg,state,team_level,conference
0,Southeast Polk,13,0,39.5,17.5,22.0,2653.0,29,2175.0,38,67,204.1,167.3,1.0,371.4,IA,HS,
1,Dowling Catholic,9,2,32.4,11.7,20.6,1402.0,11,1988.0,31,42,127.5,180.7,0.82,308.2,IA,HS,
2,Ankeny,9,4,25.6,24.0,1.6,2314.0,20,2222.0,24,44,178.0,170.9,0.69,348.9,IA,HS,
3,Waukee Northwest,7,3,34.9,17.6,17.3,1491.0,16,1794.0,27,43,149.1,179.4,0.7,328.5,IA,HS,
4,Ankeny Centennial,7,5,33.8,14.2,19.7,1887.0,21,2114.0,31,52,157.2,176.2,0.58,333.4,IA,HS,
5,Valley,6,6,26.3,19.9,6.3,1670.0,15,2172.0,25,40,139.2,181.0,0.5,320.2,IA,HS,
6,Waukee,8,3,28.6,12.2,16.5,1438.0,14,2003.0,25,39,130.7,182.1,0.73,312.8,IA,HS,
7,Johnston,5,5,24.0,17.5,6.5,1754.0,17,971.0,12,29,175.4,97.1,0.5,272.5,IA,HS,
8,Pleasant Valley,8,2,35.2,26.5,8.7,540.0,7,3174.0,38,45,54.0,317.4,0.8,371.4,IA,HS,
9,Cedar Falls,7,4,28.8,22.7,6.1,1206.0,15,2250.0,25,40,109.6,204.5,0.64,314.1,IA,HS,
10,Bettendorf,8,3,34.1,17.0,17.1,1261.0,12,2238.0,36,48,114.6,203.5,0.73,318.1,IA,HS,
11,Cedar Rapids Kennedy,6,4,34.9,17.6,17.3,2379.0,25,1758.0,21,46,237.9,175.8,0.6,413.7,IA,HS,
12,Prairie,5,5,26.2,24.8,1.4,1766.0,12,1508.0,19,31,176.6,150.8,0.5,327.4,IA,HS,
13,Iowa City High,6,4,33.4,25.2,8.2,2540.0,22,1822.0,23,45,254.0,182.2,0.6,436.2,IA,HS,
14,Sioux City East,5,5,25.3,30.4,-5.1,2345.0,19,1105.0,16,35,234.5,110.5,0.5,345.0,IA,HS,
15,Urbandale,4,5,15.8,23.4,-7.7,631.0,1,1185.0,14,15,70.1,131.7,0.44,201.8,IA,HS,
16,Iowa City Liberty,4,5,37.6,25.3,12.2,2683.0,29,1297.0,17,46,298.1,144.1,0.44,442.2,IA,HS,
17,Linn-Mar,4,6,22.0,23.0,-1.0,971.0,9,1933.0,20,29,97.1,193.3,0.4,290.4,IA,HS,
18,Iowa City West,4,5,32.0,26.8,5.2,1831.0,14,1372.0,21,35,203.4,152.4,0.44,355.8,IA,HS,
19,Ames,3,6,25.9,34.8,-8.9,1528.0,10,1712.0,23,33,169.8,190.2,0.33,360.0,IA,HS,
20,Davenport West,5,4,19.2,21.9,-2.7,1188.0,8,1389.0,15,23,132.0,154.3,0.56,286.3,IA,HS,
21,Des Moines Roosevelt,4,5,21.3,32.6,-11.2,1393.0,14,1181.0,13,27,154.8,131.2,0.44,286.0,IA,HS,
22,Dubuque Hempstead,5,4,20.7,26.1,-5.4,1328.0,11,1518.0,14,25,147.6,168.7,0.56,316.3,IA,HS,
23,Muscatine,4,5,23.6,28.4,-4.9,238.0,0,2377.0,28,28,26.4,264.1,0.44,290.5,IA,HS,
24,Dubuque Senior,2,7,12.8,35.2,-22.4,1221.0,9,999.0,7,16,135.7,111.0,0.22,246.7,IA,HS,
25,Waterloo West,4,5,20.1,28.2,-8.1,965.0,9,1367.0,16,25,107.2,151.9,0.44,259.1,IA,HS,
26,Ottumwa,4,5,22.7,36.1,-13.4,685.0,7,2537.0,21,28,76.1,281.9,0.44,358.0,IA,HS,
27,Cedar Rapids Jefferson,4,5,21.4,24.3,-2.9,1108.0,7,1416.0,18,25,123.1,157.3,0.44,280.4,IA,HS,
28,Cedar Rapids Washington,1,8,11.0,37.8,-26.8,1071.0,10,509.0,2,12,119.0,56.6,0.11,175.6,IA,HS,
29,Davenport North,2,7,18.6,27.3,-8.8,1423.0,6,1596.0,17,23,158.1,177.3,0.22,335.4,IA,HS,
30,Sioux City North,2,7,22.6,26.7,-4.1,826.0,3,1384.0,16,19,91.8,153.8,0.22,245.6,IA,HS,
31,Marshalltown,2,7,14.4,32.7,-18.2,1120.0,10,933.0,5,15,124.4,103.7,0.22,228.1,IA,HS,
32,Davenport Central,2,7,12.3,33.9,-21.6,1149.0,6,665.0,6,12,127.7,73.9,0.22,201.6,IA,HS,
33,Des Moines Lincoln,3,6,19.9,31.6,-11.7,651.0,5,2149.0,22,27,72.3,238.8,0.33,311.1,IA,HS,
34,Council Bluffs Lincoln,2,7,18.6,35.1,-16.6,1173.0,9,1294.0,13,22,130.3,143.8,0.22,274.1,IA,HS,
35,Des Moines East,0,9,10.7,47.4,-36.8,1608.0,13,28.0,1,14,178.7,3.1,0.0,181.8,IA,HS,
36,LSU,10,3,45.5,28.0,17.5,,44,,34,78,338.9,204.5,0.77,543.5,,College,SEC
37,Oregon,12,2,44.2,16.5,27.7,,49,,33,82,346.9,184.5,0.86,531.4,,College,Pac-12
38,Oklahoma,10,3,41.7,23.5,18.2,,34,,32,66,324.8,182.2,0.77,507.0,,College,Big 12
39,Liberty,13,1,38.3,23.9,14.4,,32,,39,71,205.9,293.3,0.93,499.1,,College,CUSA
40,Georgia,13,1,40.1,15.6,24.5,,29,,40,69,305.3,191.2,0.93,496.5,,College,SEC
41,North Texas,5,7,34.5,37.1,-2.6,,33,,19,52,304.7,191.2,0.42,495.8,,College,AAC
42,North Carolina,8,5,34.5,27.3,7.2,,26,,28,54,299.2,192.1,0.62,491.2,,College,ACC
43,UCF,6,7,31.3,25.8,5.5,,24,,28,52,258.8,228.2,0.46,487.0,,College,Big 12
44,Texas,12,2,35.8,18.9,16.9,,25,,29,54,289.1,188.4,0.86,477.5,,College,Big 12
45,Southern California,8,5,41.8,34.4,7.4,,37,,33,70,333.0,134.6,0.62,467.6,,College,Pac-12
46,TCU,5,7,31.3,27.8,3.5,,27,,19,46,312.2,154.5,0.42,466.7,,College,Big 12
47,Washington,14,1,36.0,24.8,11.2,,38,,28,66,343.7,118.4,0.93,462.1,,College,Pac-12
48,Ole Miss,11,2,35.1,22.1,13.0,,26,,29,55,285.6,176.3,0.85,461.9,,College,SEC
49,Memphis,10,3,39.4,28.8,10.6,,33,,31,64,306.5,152.0,0.77,458.5,,College,AAC
50,Texas St.,8,5,36.7,32.8,3.9,,24,,33,57,270.9,186.7,0.62,457.6,,College,Sun Belt
51,SMU,11,3,38.7,17.8,20.9,,33,,29,62,278.4,175.9,0.79,454.3,,College,AAC
52,South Fla.,7,6,31.9,32.2,-0.3,,27,,23,50,268.8,182.8,0.54,451.6,,College,AAC
53,UAB,4,8,29.9,36.9,-7.0,,22,,24,46,288.9,161.1,0.33,450.0,,College,AAC
54,Tennessee,9,4,31.8,20.3,11.5,,22,,23,45,243.2,204.8,0.69,448.1,,College,SEC
55,Arizona,10,3,34.6,21.1,13.5,,36,,17,53,308.3,139.7,0.77,448.0,,College,Pac-12
56,Kansas,9,4,34.8,26.5,8.3,,24,,32,56,240.1,206.0,0.69,446.1,,College,Big 12
57,App State,9,5,33.2,26.6,6.6,,34,,23,57,273.6,172.0,0.64,445.6,,College,Sun Belt
58,Kansas St.,9,4,37.1,21.0,16.1,,30,,32,62,241.2,204.1,0.69,445.2,,College,Big 12
59,South Alabama,7,6,33.1,21.0,12.1,,28,,28,56,268.2,172.0,0.54,440.2,,College,Sun Belt
60,Utah St.,6,7,33.2,34.7,-1.5,,35,,18,53,254.2,184.4,0.46,438.6,,College,Mountain West
61,Boise St.,8,6,32.1,25.1,7.0,,20,,34,54,221.3,214.9,0.57,436.1,,College,Mountain West
62,West Virginia,9,4,31.5,26.2,5.3,,18,,32,50,205.7,228.9,0.69,434.6,,College,Big 12
63,Missouri,11,2,32.5,20.8,11.7,,23,,25,48,262.3,172.0,0.85,434.3,,College,SEC
64,Notre Dame,10,3,39.2,15.9,23.3,,31,,28,59,246.5,185.7,0.77,432.2,,College,FBS Independent
65,Oklahoma St.,10,4,29.6,28.6,1.0,,18,,29,47,276.5,155.3,0.71,431.8,,College,Big 12
66,Miami,7,6,31.5,22.8,8.7,,23,,24,47,258.0,173.2,0.54,431.2,,College,ACC
67,UCLA,8,5,26.5,18.4,8.1,,24,,21,45,229.2,197.9,0.62,427.1,,College,Pac-12
68,Cincinnati,3,9,24.1,30.0,-5.9,,21,,14,35,209.0,217.1,0.25,426.1,,College,Big 12
69,Georgia Tech,7,6,31.1,29.5,1.6,,27,,24,51,220.8,203.8,0.54,424.6,,College,ACC
70,Washington St.,5,7,31.7,28.1,3.6,,27,,17,44,336.8,84.8,0.42,421.7,,College,Pac-12
71,UTSA,9,4,31.9,24.1,7.8,,25,,27,52,249.8,171.8,0.69,421.6,,College,AAC
72,Ga. Southern,6,7,30.2,30.5,-0.3,,26,,16,42,302.2,117.2,0.46,419.5,,College,Sun Belt
73,Troy,11,3,29.6,17.1,12.5,,29,,19,48,266.0,153.4,0.79,419.4,,College,Sun Belt
74,Toledo,11,3,32.3,20.3,12.0,,26,,31,57,220.6,198.6,0.79,419.2,,College,MAC
75,Coastal Carolina,8,5,27.7,23.8,3.9,,24,,17,41,261.6,154.6,0.62,416.2,,College,Sun Belt
76,Louisville,10,4,30.7,21.3,9.4,,22,,31,53,236.6,178.5,0.71,415.1,,College,ACC
77,UNLV,9,5,34.4,28.6,5.8,,17,,39,56,239.2,173.5,0.64,412.7,,College,Mountain West
78,New Mexico St.,10,5,27.5,22.8,4.7,,28,,22,50,213.7,198.7,0.67,412.4,,College,CUSA
79,New Mexico,4,8,27.2,35.1,-7.9,,17,,26,43,217.9,192.7,0.33,410.6,,College,Mountain West
80,Oregon St.,8,5,31.8,22.9,8.9,,26,,26,52,242.2,167.1,0.62,409.2,,College,Pac-12
81,Florida,5,7,28.4,27.6,0.8,,20,,21,41,259.2,149.8,0.42,409.1,,College,SEC
82,Ohio St.,11,2,30.5,11.2,19.3,,26,,20,46,269.1,138.8,0.85,407.9,,College,Big Ten
83,Texas A&M,7,6,33.3,22.1,11.2,,24,,23,47,270.8,136.2,0.54,406.9,,College,SEC
84,San Jose St.,7,6,31.8,25.6,6.2,,21,,31,52,219.5,184.1,0.54,403.5,,College,Mountain West
85,Clemson,9,4,29.8,21.1,8.7,,20,,24,44,228.4,174.3,0.69,402.7,,College,ACC
86,Western Ky.,8,5,30.5,28.7,1.8,,38,,12,50,296.4,105.4,0.62,401.8,,College,CUSA
87,Florida St.,13,1,34.6,19.3,15.3,,25,,32,57,251.4,150.2,0.93,401.6,,College,ACC
88,Penn St.,10,3,36.2,13.5,22.7,,30,,26,56,215.0,184.8,0.77,399.8,,College,Big Ten
89,Colorado St.,5,7,26.1,29.6,-3.5,,24,,10,34,306.5,92.2,0.42,398.7,,College,Mountain West
90,Georgia St.,7,6,27.2,30.1,-2.9,,20,,25,45,205.2,188.1,0.54,393.3,,College,Sun Belt
91,Alabama,12,2,34.0,19.0,15.0,,23,,32,55,220.4,172.6,0.86,393.1,,College,SEC
92,Louisiana,6,7,32.2,28.6,3.6,,23,,25,48,216.7,175.7,0.46,392.4,,College,Sun Belt
93,Virginia Tech,7,6,29.5,23.9,5.6,,23,,20,43,201.7,189.8,0.54,391.5,,College,ACC
94,Middle Tenn.,4,8,24.2,28.1,-3.9,,23,,13,36,266.0,125.1,0.33,391.1,,College,CUSA
95,Illinois,5,7,24.5,29.4,-4.9,,23,,12,35,264.6,126.4,0.42,391.0,,College,Big Ten
96,California,6,7,30.2,32.8,-2.6,,22,,26,48,218.2,172.8,0.46,390.9,,College,Pac-12
97,Fresno St.,9,4,30.5,23.5,7.0,,29,,16,45,282.2,105.5,0.69,387.8,,College,Mountain West
98,Maryland,8,5,29.7,22.5,7.2,,27,,20,47,278.9,108.4,0.62,387.3,,College,Big Ten
99,Texas Tech,7,6,27.4,26.0,1.4,,24,,17,41,224.0,162.7,0.54,386.7,,College,Big 12
100,Tulsa,4,8,23.4,33.8,-10.4,,20,,13,33,204.7,180.8,0.33,385.4,,College,AAC
101,Louisiana Tech,3,9,25.9,33.4,-7.5,,16,,20,36,260.9,123.8,0.25,384.7,,College,CUSA
102,Michigan,15,0,35.9,10.4,25.5,,24,,40,64,213.7,169.1,1.0,382.7,,College,Big Ten
103,Boston College,7,6,24.8,28.3,-3.5,,15,,25,40,182.5,198.8,0.54,381.2,,College,ACC
104,Wisconsin,7,6,23.5,20.2,3.3,,14,,22,36,220.2,161.0,0.54,381.2,,College,Big Ten
105,Purdue,4,8,23.9,29.9,-6.0,,15,,20,35,211.2,169.1,0.33,380.2,,College,Big Ten
106,Baylor,3,9,23.1,33.3,-10.2,,15,,13,28,263.0,114.8,0.25,377.8,,College,Big 12
107,Arkansas St.,6,7,27.1,30.4,-3.3,,17,,20,37,226.0,147.6,0.46,373.6,,College,Sun Belt
108,Temple,3,9,21.1,35.7,-14.6,,23,,9,32,276.7,95.7,0.25,372.3,,College,AAC
109,Tulane,11,3,26.4,20.5,5.9,,25,,16,41,215.0,155.1,0.79,370.1,,College,AAC
110,NIU,7,6,24.9,21.0,3.9,,15,,23,38,189.8,179.6,0.54,369.4,,College,MAC
111,Virginia,3,9,23.2,33.8,-10.6,,19,,12,31,250.8,117.9,0.25,368.8,,College,ACC
112,Air Force,9,4,27.8,18.2,9.6,,7,,36,43,85.0,281.5,0.69,366.5,,College,Mountain West
113,Western Mich.,4,8,23.7,31.8,-8.1,,13,,21,34,211.2,153.8,0.33,365.0,,College,MAC
114,Iowa St.,7,6,26.2,22.8,3.4,,23,,16,39,245.0,119.9,0.54,364.9,,College,Big 12
115,Colorado,4,8,28.2,34.8,-6.6,,29,,12,41,294.7,68.9,0.33,363.6,,College,Pac-12
116,South Carolina,5,7,26.0,26.3,-0.3,,21,,17,38,278.0,85.1,0.42,363.1,,College,SEC
117,Rice,6,7,29.5,28.1,1.4,,29,,21,50,252.5,110.5,0.46,362.9,,College,AAC
118,UTEP,3,9,19.9,28.5,-8.6,,13,,16,29,217.7,144.3,0.25,362.0,,College,CUSA
119,Houston,4,8,23.7,31.5,-7.8,,24,,10,34,241.5,118.7,0.33,360.2,,College,Big 12
120,Marshall,6,7,22.8,28.7,-5.9,,12,,21,33,226.2,132.3,0.46,358.5,,College,Sun Belt
121,Massachusetts,3,9,23.2,37.8,-14.6,,14,,19,33,214.1,142.2,0.25,356.2,,College,FBS Independent
122,Southern Miss.,3,9,23.2,35.8,-12.6,,15,,16,31,190.7,162.8,0.25,353.4,,College,Sun Belt
123,Hawaii,5,8,21.4,32.2,-10.8,,27,,6,33,276.4,76.1,0.38,352.5,,College,Mountain West
124,Stanford,3,9,20.6,37.2,-16.6,,11,,15,26,233.0,118.6,0.25,351.6,,College,Pac-12
125,Auburn,6,7,26.2,22.6,3.6,,18,,22,40,162.2,189.0,0.46,351.2,,College,SEC
126,NC State,9,4,26.1,20.8,5.3,,19,,19,38,193.9,156.5,0.69,350.4,,College,ACC
127,Utah,8,5,23.2,19.3,3.9,,15,,19,34,165.8,182.5,0.62,348.4,,College,Pac-12
128,Old Dominion,6,7,23.8,27.2,-3.4,,20,,15,35,194.8,153.4,0.46,348.2,,College,Sun Belt
129,Duke,8,5,26.9,19.0,7.9,,14,,26,40,180.8,167.2,0.62,348.1,,College,ACC
130,Ohio,10,3,24.3,15.8,8.5,,16,,18,34,203.6,144.4,0.77,348.0,,College,MAC
131,Central Mich.,5,7,23.2,31.1,-7.9,,15,,21,36,184.7,159.4,0.42,344.1,,College,MAC
132,Syracuse,6,7,23.5,25.4,-1.9,,17,,20,37,171.0,172.3,0.46,343.3,,College,ACC
133,Kentucky,7,6,29.1,25.8,3.3,,25,,18,43,211.6,127.8,0.54,339.5,,College,SEC
134,Indiana,3,9,22.2,29.9,-7.7,,18,,13,31,212.8,120.1,0.25,332.8,,College,Big Ten
135,Fla. Atlantic,4,8,23.8,25.5,-1.7,,19,,16,35,215.5,115.2,0.33,330.8,,College,AAC
136,Mississippi St.,5,7,21.8,26.6,-4.8,,15,,12,27,181.8,146.8,0.42,328.6,,College,SEC
137,Wake Forest,4,8,20.2,27.0,-6.8,,14,,13,27,197.3,130.4,0.33,327.8,,College,ACC
138,Wyoming,9,4,25.3,22.3,3.0,,20,,19,39,168.5,158.5,0.69,327.0,,College,Mountain West
139,UConn,3,9,19.1,29.8,-10.7,,12,,15,27,190.3,136.6,0.25,326.9,,College,FBS Independent
140,Arkansas,4,8,26.6,27.9,-1.3,,22,,9,31,187.5,139.0,0.33,326.5,,College,SEC
141,San Diego St.,4,8,20.5,26.8,-6.3,,10,,16,26,171.8,154.2,0.33,326.0,,College,Mountain West
142,Bowling Green,7,6,26.2,24.0,2.2,,17,,22,39,188.4,137.5,0.54,325.9,,College,MAC
143,Miami,11,3,25.6,15.9,9.7,,16,,23,39,165.4,158.1,0.79,323.5,,College,MAC
144,Arizona St.,3,9,17.8,31.8,-14.0,,8,,17,25,210.3,111.9,0.25,322.2,,College,Pac-12
145,ULM,2,10,17.3,34.9,-17.6,,15,,7,22,174.8,146.1,0.17,320.9,,College,Sun Belt
146,FIU,4,8,20.1,31.8,-11.7,,12,,17,29,229.3,90.2,0.33,319.6,,College,CUSA
147,Vanderbilt,2,10,22.8,36.2,-13.4,,23,,10,33,223.7,95.2,0.17,318.9,,College,SEC
148,Buffalo,3,9,20.9,27.4,-6.5,,14,,15,29,185.2,133.6,0.25,318.8,,College,MAC
149,Pittsburgh,3,9,20.2,27.3,-7.1,,17,,10,27,216.0,101.9,0.25,317.9,,College,ACC
150,Charlotte,3,9,17.5,28.6,-11.1,,7,,16,23,167.8,145.0,0.25,312.8,,College,AAC
151,Nebraska,5,7,18.0,18.2,-0.2,,10,,16,26,135.9,176.8,0.42,312.8,,College,Big Ten
152,Army West Point,6,6,20.5,21.1,-0.6,,7,,19,26,102.8,208.0,0.5,310.8,,College,FBS Independent
153,BYU,5,7,23.1,29.8,-6.7,,17,,15,32,205.4,104.3,0.42,309.8,,College,Big 12
154,Ball St.,4,8,18.2,24.4,-6.2,,9,,15,24,136.6,171.5,0.33,308.1,,College,MAC
155,Rutgers,7,6,23.2,21.2,2.0,,10,,24,34,137.5,168.7,0.54,306.2,,College,Big Ten
156,Northwestern,8,5,22.1,22.5,-0.4,,20,,14,34,202.0,101.9,0.62,303.9,,College,Big Ten
157,Minnesota,6,7,20.9,26.7,-5.8,,16,,13,29,143.4,157.5,0.46,300.9,,College,Big Ten
158,Navy,5,7,17.7,22.4,-4.7,,10,,16,26,105.7,194.6,0.42,300.2,,College,AAC
159,Nevada,2,10,17.3,33.4,-16.1,,6,,14,20,175.2,124.8,0.17,300.0,,College,Mountain West
160,Michigan St.,4,8,15.9,28.3,-12.4,,14,,7,21,199.8,89.5,0.33,289.3,,College,Big Ten
161,Akron,2,10,16.2,28.0,-11.8,,10,,12,22,197.6,81.0,0.17,278.6,,College,MAC
162,East Carolina,2,10,17.3,22.4,-5.1,,7,,12,19,163.9,113.3,0.17,277.2,,College,AAC
163,Kent St.,1,11,14.7,34.6,-19.9,,11,,8,19,164.5,105.9,0.08,270.4,,College,MAC
164,Eastern Mich.,6,7,19.5,26.7,-7.2,,10,,18,28,152.0,110.8,0.46,262.8,,College,MAC
165,Iowa,10,4,15.4,14.8,0.6,,9,,11,20,118.6,115.9,0.71,234.6,,College,Big Ten
166,James Madison,11,2,34.1,19.5,14.6,,36,,17,53,284.8,134.2,0.85,418.9,,College,Sun Belt
167,Jacksonville St.,9,4,30.2,21.2,9.0,,12,,35,47,171.0,236.7,0.69,407.7,,College,CUSA
168,Sam Houston,3,9,20.0,26.2,-6.2,,15,,13,28,222.5,88.9,0.25,311.4,,College,CUSA
169,Buffalo Bills,11,6,26.5,18.3,8.2,,29,,22,51,244.4,130.1,0.65,374.5,NY,NFL,AFC
170,Miami Dolphins,11,6,29.2,23.0,6.2,,30,,27,57,265.5,135.8,0.65,401.3,FL,NFL,AFC
171,New York Jets,7,10,15.8,20.9,-5.1,,11,,7,18,171.7,96.9,0.41,268.6,NJ,NFL,AFC
172,New England Patriots,4,13,13.9,21.5,-7.6,,16,,9,25,180.5,95.7,0.24,276.2,MA,NFL,AFC
173,Baltimore Ravens,13,4,28.4,16.5,11.9,,27,,26,53,213.8,156.5,0.76,370.3,MD,NFL,AFC
174,Cleveland Browns,11,6,23.3,21.3,2.0,,24,,15,39,217.2,118.6,0.65,335.8,OH,NFL,AFC
175,Pittsburgh Steelers,10,7,17.9,19.1,-1.2,,13,,16,29,186.1,118.2,0.59,304.3,PA,NFL,AFC
176,Cincinnati Bengals,9,8,21.5,22.6,-1.1,,27,,12,39,229.1,89.8,0.53,318.9,OH,NFL,AFC
177,Houston Texans,10,7,22.2,20.8,1.4,,27,,10,37,245.5,96.9,0.59,342.4,TX,NFL,AFC
178,Jacksonville Jaguars,9,8,22.2,21.8,0.4,,22,,17,39,242.7,96.8,0.53,339.5,FL,NFL,AFC
179,Indianapolis Colts,9,8,23.3,24.4,-1.1,,18,,19,37,215.6,121.1,0.53,336.7,IN,NFL,AFC
180,Tennessee Titans,6,11,17.9,21.6,-3.7,,14,,16,30,180.4,108.6,0.35,289.0,TN,NFL,AFC
181,Kansas City Chiefs,11,6,21.8,17.3,4.5,,28,,9,37,246.4,104.9,0.65,351.3,MO,NFL,AFC
182,Las Vegas Raiders,8,9,19.5,19.5,0.0,,20,,11,31,198.8,90.7,0.47,289.5,NV,NFL,AFC
183,Denver Broncos,8,9,21.0,24.3,-3.3,,28,,8,36,191.9,106.5,0.47,298.4,CO,NFL,AFC
184,Los Angeles Chargers,5,12,20.4,23.4,-3.0,,24,,11,35,232.8,96.6,0.29,329.4,CA,NFL,AFC
185,Dallas Cowboys,12,5,29.9,18.5,11.4,,36,,14,50,258.6,112.9,0.71,371.5,TX,NFL,NFC
186,Philadelphia Eagles,11,6,25.5,25.2,0.3,,24,,22,46,225.5,128.8,0.65,354.3,PA,NFL,NFC
187,New York Giants,6,11,15.6,23.9,-8.3,,15,,10,25,169.8,110.2,0.35,280.0,NJ,NFL,NFC
188,Washington Commanders,4,13,19.4,30.5,-11.1,,24,,14,38,219.1,93.6,0.24,312.7,MD,NFL,NFC
189,Detroit Lions,12,5,27.1,23.2,3.9,,30,,27,57,258.9,135.9,0.71,394.8,MI,NFL,NFC
190,Green Bay Packers,9,8,22.5,20.6,1.9,,32,,10,42,233.4,112.1,0.53,345.5,WI,NFL,NFC
191,Minnesota Vikings,7,10,20.2,21.3,-1.1,,30,,7,37,256.4,91.4,0.41,347.8,MN,NFL,NFC
192,Chicago Bears,7,10,21.2,22.3,-1.1,,19,,16,35,182.1,141.1,0.41,323.2,IL,NFL,NFC
193,Tampa Bay Buccaneers,9,8,20.5,19.1,1.4,,28,,8,36,224.2,88.8,0.53,313.0,FL,NFL,NFC
194,New Orleans Saints,9,8,23.6,19.2,4.4,,28,,13,41,234.7,102.5,0.53,337.2,LA,NFL,NFC
195,Atlanta Falcons,7,10,18.9,21.9,-3.0,,17,,14,31,207.3,127.0,0.41,334.3,GA,NFL,NFC
196,Carolina Panthers,2,15,13.9,24.5,-10.6,,13,,7,20,161.2,104.1,0.12,265.3,NC,NFL,NFC
197,San Francisco 49ers,12,5,28.9,17.5,11.4,,33,,27,60,257.9,140.5,0.71,398.4,CA,NFL,NFC
198,Los Angeles Rams,10,7,23.8,22.2,1.6,,26,,18,44,239.0,120.3,0.59,359.3,CA,NFL,NFC
199,Seattle Seahawks,9,8,21.4,23.6,-2.2,,23,,11,34,230.0,92.9,0.53,322.9,WA,NFL,NFC
200,Arizona Cardinals,4,13,19.4,26.8,-7.4,,18,,17,35,184.9,139.1,0.24,324.0,AZ,NFL,NFC
